Company ID (Seller),Company Name,Address,City,Province,Region,Latitude,Longitude
8682,ALCANO S.R.L,Avenida Sagrada Familia 1048,CORDOBA,CORDOBA,CENTRO,-31.38894,-64.2308
7329,ALCIDES E. PHISALIX S.A.,BELGRANO 498,SAN CARLOS CENTRO,SANTA FE,CENTRO,-31.72663,-61.09163
3253,ALCOR SERVICE S.A.,AMANCIO ALCORTA 500,BOULOGNE,BUENOS AIRES,PAMPEANA,-34.52183,-58.56324
3074,ALDO SANCHEZ Y NOEMI M DE SANCHEZ,LAS HERAS 15 Y L. N. ALEM 50,SAN MARTIN,MENDOZA,CUYO,-33.08428,-68.47195
645,ALDO Y ARNALDO BUJALDON S.H.,Av. San Martin Norte 1209,MALARGUE,MENDOZA,CUYO,-35.4559,-69.58617
7474,ALEJANDRA BEATRIZ CARMONA,PERITO MORENO  1350,GODOY CRUZ,MENDOZA,CUYO,-32.94023,-68.84748
4128,ALEJANDRO A.DEMARIA Y NELLY R. TORRE S.H.,BV. ROCA 549,LAS PERDICES,CORDOBA,CENTRO,-32.69854,-63.70913
9765,"ARRATE, JOSE LUIS",AV. INDEPENDENCIA 890 Y COLON,SAN CAYETANO,BUENOS AIRES,PAMPEANA,-38.34843,-59.61177
1423,ALFA SUR SRL,AV. OHIGGINS 3185,CORDOBA,CORDOBA,CENTRO,-31.449224,-64.168565
6708,ALFA SUR S.R.L,AV.VALPARAISO 4490,CORDOBA,CORDOBA,CENTRO,-31.464846,-64.186904
1975,ALFREDO BRUGNOLI E HIJOS S.C.C,Hipolito Irigoyen 93,PAMPA DEL INFIERNO,CHACO,NEA,-26.51207,-61.17216
2243,ALFREDO BRUGNOLI E HIJOS S.C.C,RUTA 16 Y ACCESO OESTE 0,CONCEPCION DEL BERMEJO,CHACO,NEA,-26.60249,-60.95301
1138,ALFREDO CARDINAL E HIJOS SRL,ACC.P.VILLEMUR Y RUTA PROV.27,JOVITA,CORDOBA,CENTRO,-34.52487,-63.94413
